Date,Open,High,Low,Close,Volume,close_time,volumes,orders,buy,sell,other
2020-11-18,482.11,495.31,456.6,478.41,1477696.29116,1605743999999,706704397.41086890,637641,741745.06753000,355029605.61622610,0
2020-11-19,478.43,480.75,464.86,471.25,817418.52685,1605830399999,387199111.37944740,404737,389266.26994000,184475868.34601870,0
2020-11-20,471.26,514.4,470.65,510.12,1516361.90736,1605916799999,756660192.86075660,607663,781483.37009000,389816150.40627550,0
2020-11-21,510.12,553.32,502.82,552.35,1548851.29067,1606003199999,815402228.52281210,649077,789354.14815000,415699828.62327800,0
2020-11-22,552.42,580.88,511.28,560.03,1850317.93581,1606089599999,1014064539.08814930,768900,910655.85789000,499466614.36578590,0
2020-11-23,560.03,610.85,550.12,608.58,2076008.84846,1606175999999,1218150934.31147740,896026,1056711.75846000,620234259.82056650,0
2020-11-24,608.58,623.0,585.0,604.97,1606450.49193,1606262399999,976376501.31147490,838352,801041.86277000,487114657.46570510,0
2020-11-25,604.98,606.0,553.83,569.5,1219440.02727,1606348799999,716972340.67452020,657386,576127.36549000,339032707.42864070,0
2020-11-26,569.38,577.14,481.0,519.83,2683460.74171,1606435199999,1386030255.16807190,1259051,1291907.71331000,667402458.34550710,0
2020-11-27,519.83,530.62,493.72,518.68,1088064.28114,1606521599999,558985308.90236460,578800,546528.97953000,280820318.04883820,0
2020-11-28,518.59,547.94,506.59,537.52,900508.61431,1606607999999,475169074.69038870,456028,466164.69930000,245997234.13831860,0
2020-11-29,537.5,576.9,530.32,576.3,855276.46664,1606694399999,471629262.24329860,454026,440702.88199000,243151356.51696760,0
2020-11-30,576.32,616.85,570.07,616.66,1501989.45408,1606780799999,895373784.83004420,717837,762000.09958000,454509095.97326810,0
2020-12-01,616.65,635.7,560.0,585.26,2163875.81376,1606867199999,1300668283.31968030,1018862,1053325.00335000,633883748.89797740,0
2020-12-02,585.26,604.93,575.0,596.89,1069538.65619,1606953599999,632858653.20502320,604591,532480.45583000,315241714.26318180,0
2020-12-03,596.88,623.44,585.82,615.85,935687.91723,1607039999999,568024618.94103900,513555,481922.57902000,292623478.63136890,0
2020-12-04,615.84,620.0,565.82,567.24,1052452.78666,1607126399999,624543865.90086520,556641,488225.14672000,289993182.86860670,0
2020-12-05,567.24,597.11,560.88,596.8,701567.95564,1607212799999,410382624.74253480,389600,362873.30755000,212540315.03846360,0
2020-12-06,596.82,607.5,583.0,601.54,602496.96339,1607299199999,359236400.29499330,363661,311000.01314000,185485506.35937250,0
2020-12-07,601.59,603.15,584.22,591.28,498329.37589,1607385599999,295598087.02799800,347036,236796.14093000,140496350.95128050,0
2020-12-08,591.27,595.0,549.22,554.94,804443.00717,1607471999999,461781203.16172090,422868,371889.68919000,213672984.76221560,0
2020-12-09,554.92,578.08,530.43,573.09,997192.16738,1607558399999,555142155.88265270,535975,503291.69076000,280447024.92060910,0
2020-12-10,573.2,575.7,548.11,558.99,608414.51466,1607644799999,341352126.26706100,376548,301401.59013000,169125585.10276520,0
2020-12-11,558.99,560.8,535.5,544.43,768921.78317,1607731199999,419607430.44734580,400545,369206.67071000,201527071.67009370,0
2020-12-12,544.46,574.0,543.1,568.04,573913.95311,1607817599999,320867352.46155610,321104,303037.86143000,169441251.72908650,0
2020-12-13,568.09,595.0,563.22,590.7,657794.46158,1607903999999,383072560.34673000,359525,326199.32502000,189873757.16352030,0
2020-12-14,590.81,591.48,575.6,586.29,493012.02706,1607990399999,288110223.95248790,272746,245044.70577000,143226160.02563270,0
2020-12-15,586.29,597.2,578.58,588.64,569270.52011,1608076799999,334543178.36939210,329161,290602.59003000,170832376.24944630,0
2020-12-16,588.78,640.0,580.71,637.18,1185588.05078,1608163199999,725009244.40773530,589563,615898.25662000,376680848.04210240,0
2020-12-17,637.18,676.25,625.76,642.7,2006130.01975,1608249599999,1307445033.12182490,974504,975946.21679000,636041218.08299910,0
2020-12-18,642.71,664.61,629.4,653.85,1000012.98018,1608335999999,646217791.22968610,554335,496068.24065000,320579472.24291110,0
2020-12-19,653.76,669.95,645.42,658.03,858803.88459,1608422399999,564029933.25885230,562281,421384.66554000,276780293.91863170,0
2020-12-20,658.05,661.39,621.01,638.18,823958.22843,1608508799999,533109285.65194770,505181,394908.57533000,255626307.21206790,0
2020-12-21,638.1,648.0,595.9,607.58,843251.16565,1608595199999,524208673.90862380,521589,408550.63200000,254158056.05938060,0
2020-12-22,607.68,637.73,588.0,636.45,918851.25654,1608681599999,563872004.63349170,522945,466287.90424000,286284535.10764970,0
2020-12-23,636.41,638.44,551.28,585.56,1208807.36518,1608767999999,733443630.36561180,733896,564050.80567000,342705478.21036510,0
2020-12-24,585.48,615.02,565.43,612.31,886335.86333,1608854399999,519843556.98166310,571510,452224.32838000,265331357.89847340,0
2020-12-25,612.31,634.24,604.28,626.82,798009.62915,1608940799999,494089140.85723270,468979,410025.85332000,253924482.47283610,0
2020-12-26,626.78,652.91,615.26,637.44,958585.50647,1609027199999,607664782.01089470,541191,484016.30919000,307006622.69878590,0
2020-12-27,637.44,717.13,625.0,685.11,1859968.15029,1609113599999,1247547956.82394360,1047001,934904.83600000,627557199.45998840,0
2020-12-28,685.1,748.09,681.04,730.41,1627154.39266,1609199999999,1180438285.48840650,961277,832490.11082000,603982596.85125660,0
2020-12-29,730.4,740.78,689.2,732.0,1106876.35855,1609286399999,794643540.49012380,820504,543799.46855000,390697226.37305640,0
2020-12-30,732.0,758.74,716.62,752.17,1008574.09906,1609372799999,743546676.75446260,692405,514590.35901000,379464185.39099070,0
2020-12-31,752.17,755.74,722.0,736.42,863375.57981,1609459199999,638503822.39406460,623216,431442.91885000,319087759.04187390,0
2021-01-01,736.42,749.0,714.29,728.91,675114.09329,1609545599999,496072043.77740740,483671,338988.53158000,249240373.93868390,0
2021-01-02,728.91,787.69,714.91,774.56,1352618.57668,1609631999999,1024472182.61208700,824134,686674.73342000,519915827.01148550,0
2021-01-03,774.44,1011.07,768.71,978.28,2813603.88615,1609718399999,2522411859.73160970,1636501,1439027.79886000,1290266275.59314880,0
2021-01-04,978.33,1162.97,890.0,1041.43,4245010.94004,1609804799999,4303634203.21959870,2477862,2126337.67210000,2157639019.32919130,0
2021-01-05,1041.45,1134.6,974.45,1099.56,2706995.67525,1609891199999,2857050280.00814230,1960503,1337641.02794000,1412551452.85355810,0
2021-01-06,1100.16,1213.0,1057.26,1208.42,2390136.59334,1609977599999,2725262121.28851310,1600888,1227955.88850000,1401239480.53057930,0
2021-01-07,1208.75,1289.0,1131.0,1224.87,1972922.82059,1610063999999,2406219891.36853430,1402699,974726.97516000,1189746026.15138440,0
2021-01-08,1224.86,1273.75,1065.0,1216.93,2131172.92341,1610150399999,2543427452.58012550,1718817,1042889.10509000,1246619297.41983940,0
2021-01-09,1216.72,1304.37,1171.36,1276.0,1448871.11514,1610236799999,1780137376.41646950,1131871,746369.69680000,918333130.76833010,0
2021-01-10,1276.0,1348.33,1170.0,1254.25,1951179.35003,1610323199999,2517791852.40776210,1437486,979792.30536000,1266203575.09528690,0
2021-01-11,1254.24,1260.0,915.0,1087.01,4068784.65678,1610409599999,4290593989.58017690,2557613,1966216.19764000,2073558269.94001260,0
