Date,Open,High,Low,Close,Volume,close_time,volumes,orders,buy,buy,other
2020-03-08,8885.25,8886.76,8000.0,8033.31,77537.315166,1583711999999,656931544.78216040,740741,34843.60784900,295351474.43544910,0
2020-03-09,8034.76,8179.31,7632.01,7929.87,116968.863268,1583798399999,918787729.08558386,929234,58020.95792700,455866837.30462256,0
2020-03-10,7929.87,8149.0,7728.01,7894.56,86783.443875,1583884799999,689700153.44909328,737528,43673.58402400,347117049.36196732,0
2020-03-11,7894.57,7980.0,7590.0,7934.52,79942.411172,1583971199999,624465167.36481883,699401,40497.89273800,316442882.75970132,0
2020-03-12,7934.58,7966.17,4410.0,4800.0,261505.608653,1584057599999,1628590104.22221324,1770812,119298.00619700,743481672.20376488,0
2020-03-13,4800.01,5955.0,3782.13,5578.6,402201.673764,1584143999999,2063819540.63899484,2309830,197511.95427300,1017423855.75574906,0
2020-03-14,5576.05,5640.52,5055.13,5172.06,136910.135974,1584230399999,736651880.92107893,1106125,66104.01972900,356020329.85217690,0
2020-03-15,5172.48,5940.0,5093.1,5361.3,139916.146534,1584316799999,753755706.42687720,1037714,70540.65095000,380499471.94982265,0
2020-03-16,5360.33,5365.42,4442.12,5028.97,227276.92276,1584403199999,1113690309.10158680,1608176,108901.96736600,533857910.81658686,0
2020-03-17,5028.86,5525.0,4921.45,5312.64,150089.926318,1584489599999,793147908.26849729,1069217,74698.37425400,394902319.12415861,0
2020-03-18,5312.64,5436.17,5009.37,5393.04,137127.634894,1584575999999,719748122.45301997,962843,65106.06777800,341970839.57798240,0
2020-03-19,5393.26,6400.0,5252.53,6162.37,199020.873439,1584662399999,1164739707.51423590,1403608,99011.94701100,579536547.75822434,0
2020-03-20,6162.05,6900.0,5670.0,6208.36,219298.329514,1584748799999,1401734013.17520213,1580069,104719.63918000,670117999.14814168,0
2020-03-21,6204.57,6456.98,5860.02,6186.98,128913.668363,1584835199999,794962136.63841710,990974,63326.09685200,390737241.11380974,0
2020-03-22,6187.04,6407.87,5734.01,5816.19,119115.990527,1584921599999,722895653.51006145,952259,57189.89834900,347411876.36095811,0
2020-03-23,5816.05,6600.0,5688.0,6467.31,164674.215785,1585007999999,1015525672.07438633,1099406,84136.01172800,519197453.13588756,0
2020-03-24,6465.25,6833.0,6371.33,6744.72,151138.009878,1585094399999,1001890515.23998861,1012669,72781.81732800,482659188.55276766,0
2020-03-25,6744.69,6957.96,6450.0,6677.43,132155.734989,1585180799999,880250736.90798865,912179,63515.16835000,423439621.64069462,0
2020-03-26,6677.42,6780.0,6510.0,6737.36,83026.555211,1585267199999,552537189.47935146,668467,41123.41050600,273834254.46692475,0
2020-03-27,6737.27,6842.59,6261.0,6359.11,82914.968354,1585353599999,551326113.85520389,643631,38439.27221600,255910741.81760174,0
2020-03-28,6359.11,6360.0,6024.0,6236.65,93159.693429,1585439999999,577986706.12893653,725588,44960.52343800,279053353.63500286,0
2020-03-29,6236.65,6266.0,5866.56,5881.42,63311.627714,1585526399999,383707122.50096294,496709,29080.96792200,176336037.90451324,0
2020-03-30,5880.5,6599.0,5857.76,6394.38,118889.549992,1585612799999,747569726.45441973,784034,58863.31298300,370039956.00738122,0
2020-03-31,6394.45,6523.23,6321.4,6410.44,72337.595259,1585699199999,465780496.62248718,538231,34730.90233400,223650665.24981058,0
2020-04-01,6412.14,6679.94,6150.11,6642.92,97500.7524,1585785599999,618527468.83416410,758061,49161.37019500,312180122.98026614,0
2020-04-02,6643.36,7198.0,6551.0,6794.09,149299.906871,1585871999999,1014494762.44164222,1101043,74722.16374800,508095825.95867690,0
2020-04-03,6793.86,7048.0,6602.1,6734.1,104080.276939,1585958399999,710254017.10027212,840456,51077.93867100,348762338.66686200,0
2020-04-04,6732.97,6990.41,6650.01,6856.99,72990.861139,1586044799999,495076283.52090415,659051,36419.05668400,247173793.29146553,0
2020-04-05,6857.41,6895.54,6677.52,6772.78,49685.356983,1586131199999,337062083.00202794,506433,23875.57831200,162008820.38877512,0
2020-04-06,6772.78,7355.14,6765.0,7329.9,118052.000832,1586217599999,837357664.65192143,956586,59322.20887300,420706756.20827898,0
2020-04-07,7329.9,7459.69,7077.0,7197.32,103585.168918,1586303999999,757201786.69766315,924436,48811.26778900,357008427.72553911,0
2020-04-08,7197.32,7420.0,7150.0,7361.28,76059.145838,1586390399999,555122600.27502590,750516,39000.55256500,284685809.77746603,0
2020-04-09,7360.26,7371.92,7108.08,7283.54,61094.872417,1586476799999,444741085.90375861,686207,28801.89285100,209718590.14289618,0
2020-04-10,7283.54,7295.75,6739.98,6858.92,104674.623375,1586563199999,727281590.77193982,949050,47958.96080500,333222230.69815031,0
2020-04-11,6858.92,6944.3,6760.0,6876.83,45470.293206,1586649599999,311699573.51667396,484618,21157.12838100,145036158.54711846,0
2020-04-12,6876.84,7177.0,6780.0,6903.79,73868.666501,1586735999999,516235035.18651132,648323,35637.95868700,249206873.18271956,0
2020-04-13,6903.79,6903.79,6575.0,6837.91,96415.476573,1586822399999,649390681.24850258,804179,44648.49218700,300780988.70993096,0
2020-04-14,6838.04,6978.0,6754.28,6868.7,69068.623285,1586908799999,474794776.19211112,608665,32019.32233700,220122993.72657639,0
